emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🎧,\U0001f3a7,headphone,Headphone,"['Earphone', 'Headphones', 'iPod']","Headphones, used to listen to music or other forms audio, such as podcasts. Most platforms display this emoji with large over-ear headphones in shades of black, blue, and gray.
Apple previously displayed this emoji as iconic iPod white earbuds, followed by black Beats headphones in 2016, and in 2021 switched to display white AirPods Max.

Headphone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':headphones:\n(Github, Slack)\n', ':headphone:\n(Emojipedia)\n']",[],,"Headphones, used to listen to music or other forms audio, such as podcasts. Most platforms display this emoji with large over-ear headphones in shades of black, blue, and gray.
Apple previously displayed this emoji as iconic iPod white earbuds, followed by black Beats headphones in 2016, and in 2021 switched to display white AirPods Max.","Headphone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🥍,\U0001f94d,lacrosse,Lacrosse,[],"
Lacrosse was approved as part of Unicode 11.0 in 2018
under the name “Lacrosse Stick and Ball”
and added to Emoji 11.0 in 2018.
","[':lacrosse:\n(Github, Slack, Emojipedia)\n']",[],,,"Lacrosse was approved as part of Unicode 11.0 in 2018
under the name “Lacrosse Stick and Ball”
and added to Emoji 11.0 in 2018."
🇷🇪,\U0001f1f7\U0001f1ea,flag-_réunion,Flag: Réunion,['Réunionnais Flag'],"The flag for Réunion, which may show as the letters RE on some platforms.
Shown as either the Volcano + Sunbeams flag proposal by the Vexillological Association of Réunion, or the blue, white, red stripes + four colored quadrants proposal by the Association for the Réunion Flag.
The Flag For France is the official flag of Réunion. All local flags used are unofficial.
The Flag: Réunion emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇪 Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms.

Flag: Réunion was added to Emoji 1.0 in 2015.
","[':flag-re:\n(Slack)\n', ':reunion:\n(Github)\n', ':flag_reunion:\n(Emojipedia)\n']",[],The Flag For France is the official flag of Réunion. All local flags used are unofficial.,"The flag for Réunion, which may show as the letters RE on some platforms.
Shown as either the Volcano + Sunbeams flag proposal by the Vexillological Association of Réunion, or the blue, white, red stripes + four colored quadrants proposal by the Association for the Réunion Flag.
The Flag For France is the official flag of Réunion. All local flags used are unofficial.
The Flag: Réunion emoji is a flag sequence combining 🇷 Regional Indicator Symbol Letter R and 🇪 Regional Indicator Symbol Letter E.
These display as a single emoji on supported platforms.",Flag: Réunion was added to Emoji 1.0 in 2015.
🧛,\U0001f9db,vampire,Vampire,['Dracula'],"A vampire shown wearing a dark cape, and with pointed fangs. This emoji supports skin tones, and variations that are female or male.

Vampire was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","[':vampire:\n(Github, Slack, Emojipedia)\n']",['🚩'],,"A vampire shown wearing a dark cape, and with pointed fangs. This emoji supports skin tones, and variations that are female or male.","Vampire was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
🚩 Previously displayed a gendered appearance, now shown as gender neutral."
🦏,\U0001f98f,rhinoceros,Rhinoceros,['Rhino'],"A rhinoceros, a large mammal with one or two massive horns on its nose. Generally shown in light gray with two horns, depicted in full profile on all fours or as a rhinoceros head looking left.
Resembles the white or black rhinoceros.
Apple, Google, Microsoft, WhatsApp, and Facebook’s designs feature the full animal, while Samsung and Twitter’s designs feature only the rhinoceros' head.
Facebook’s design previously featured just the rhinoceros' head, as did Google's.

Rhinoceros was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016.
","[':rhinoceros:\n(Github, Slack, Emojipedia)\n']",[],,"A rhinoceros, a large mammal with one or two massive horns on its nose. Generally shown in light gray with two horns, depicted in full profile on all fours or as a rhinoceros head looking left.
Resembles the white or black rhinoceros.
Apple, Google, Microsoft, WhatsApp, and Facebook’s designs feature the full animal, while Samsung and Twitter’s designs feature only the rhinoceros' head.
Facebook’s design previously featured just the rhinoceros' head, as did Google's.","Rhinoceros was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
👨,\U0001f468,man,Man,"['Male', 'Moustache Man']","A man of adult age, shown on some platforms with a moustache.

Man was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':man:\n(Github, Slack, Emojipedia)\n']",[],,"A man of adult age, shown on some platforms with a moustache.","Man was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🤹‍♂️,\U0001f939\u200d\u2642\ufe0f,man_juggling,Man Juggling,['Male Juggler'],"The Man Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.

Man Juggling was added to Emoji 4.0 in 2016.
","[':man_juggling:\n(Github, Emojipedia)\n', ':man-juggling:\n(Slack)\n']","['♂️', '🤹']",,"The Man Juggling emoji is a ZWJ sequence combining 🤹 Person Juggling, ‍ Zero Width Joiner and ♂️ Male Sign.
These display as a single emoji on supported platforms.",Man Juggling was added to Emoji 4.0 in 2016.
👨‍👧,\U0001f468\u200d\U0001f467,"family-_man,_girl","Family: Man, Girl",[],"The Family: Man, Girl emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 👧 Girl.
These display as a single emoji on supported platforms.

Family: Man, Girl was added to Emoji 4.0 in 2016.
","[':family_man_girl:\n(Github, Emojipedia)\n', ':man-girl:\n(Slack)\n']","['👨', '👧']",,"The Family: Man, Girl emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 👧 Girl.
These display as a single emoji on supported platforms.","Family: Man, Girl was added to Emoji 4.0 in 2016."
🍸,\U0001f378,cocktail_glass,Cocktail Glass,"['Cocktail', 'Martini']","A stemmed glass with a cone-shaped bowl, used for serving cocktails. Depicted as a martini garnished with an olive. Might be gin or vodka, shaken or stirred. See also Tropical Drink.

Cocktail Glass was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':cocktail:\n(Github, Slack)\n', ':cocktail_glass:\n(Emojipedia)\n']",[],"A stemmed glass with a cone-shaped bowl, used for serving cocktails. Depicted as a martini garnished with an olive. Might be gin or vodka, shaken or stirred. See also Tropical Drink.","A stemmed glass with a cone-shaped bowl, used for serving cocktails. Depicted as a martini garnished with an olive. Might be gin or vodka, shaken or stirred. See also Tropical Drink.","Cocktail Glass was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🔅,\U0001f505,dim_button,Dim Button,['Decrease Brightness'],"An icon of a outlined sun, used when decreasing the brightness of a screen. Appears smaller than the High Brightness Symbol.

Dim Button was approved as part of Unicode 6.0 in 2010
under the name “Low Brightness Symbol”
and added to Emoji 1.0 in 2015.
","[':low_brightness:\n(Github, Slack)\n', ':dim_button:\n(Emojipedia)\n']",[],"An icon of a outlined sun, used when decreasing the brightness of a screen. Appears smaller than the High Brightness Symbol.","An icon of a outlined sun, used when decreasing the brightness of a screen. Appears smaller than the High Brightness Symbol.","Dim Button was approved as part of Unicode 6.0 in 2010
under the name “Low Brightness Symbol”
and added to Emoji 1.0 in 2015."
🎨,\U0001f3a8,artist_palette,Artist Palette,"['Art', 'Painting']","A palette used by an artist when painting, to store and mix paint colors.

Artist Palette was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':art:\n(Github, Slack)\n', ':artist_palette:\n(Emojipedia)\n']",[],,"A palette used by an artist when painting, to store and mix paint colors.","Artist Palette was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🐜,\U0001f41c,ant,Ant,"['Bug', 'Insect']","An ant, a small, industrious insect that lives in a colony. Depicted as a black or red ant in full profile on its six legs facing left, with a prominent abdomen and antennae.
May be used to represent various insects or other bugs.
Microsoft and Facebook’s ants are red. Google’s ant was previously blue, Facebook’s black.

Ant was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':ant:\n(Github, Slack, Emojipedia)\n']",[],,"An ant, a small, industrious insect that lives in a colony. Depicted as a black or red ant in full profile on its six legs facing left, with a prominent abdomen and antennae.
May be used to represent various insects or other bugs.
Microsoft and Facebook’s ants are red. Google’s ant was previously blue, Facebook’s black.","Ant was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
7️⃣,7\ufe0f\u20e3,keycap_digit_seven,Keycap Digit Seven,[],"The Keycap Digit Seven emoji is a keycap sequence combining 7️ Digit Seven and ⃣ Combining Enclosing Keycap.
These display as a single emoji on supported platforms.

Keycap Digit Seven was approved as part of Unicode 3.0 in 1999
and added to Emoji 3.0 in 2016.
","[':seven:\n(Github, Slack)\n', ':keycap_digit_seven:\n(Emojipedia)\n']",[],,"The Keycap Digit Seven emoji is a keycap sequence combining 7️ Digit Seven and ⃣ Combining Enclosing Keycap.
These display as a single emoji on supported platforms.","Keycap Digit Seven was approved as part of Unicode 3.0 in 1999
and added to Emoji 3.0 in 2016."
🐻‍❄️,\U0001f43b\u200d\u2744\ufe0f,polar_bear,Polar Bear,[],"A friendly, cartoon-styled face of polar bear, looking straight ahead. Depicted as the face of a white bear with round ears.
WhatsApp previously showed the full body of the bear.
The Polar Bear emoji is a ZWJ sequence combining 🐻 Bear, ‍ Zero Width Joiner and ❄️ Snowflake.
These display as a single emoji on supported platforms.

Polar Bear was added to Emoji 13.0 in 2020.

🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above.",[':polar_bear:\n(Emojipedia)\n'],"['❄️', '🚩', '🐻']",,"A friendly, cartoon-styled face of polar bear, looking straight ahead. Depicted as the face of a white bear with round ears.
WhatsApp previously showed the full body of the bear.
The Polar Bear emoji is a ZWJ sequence combining 🐻 Bear, ‍ Zero Width Joiner and ❄️ Snowflake.
These display as a single emoji on supported platforms.","Polar Bear was added to Emoji 13.0 in 2020.
🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above."
😇,\U0001f607,smiling_face_with_halo,Smiling Face with Halo,"['Angel', 'Halo']","A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel.
Several platforms, including Apple, feature an expression similar to their 😊 Smiling Face With Smiling Eyes.

Smiling Face with Halo was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':innocent:\n(Github, Slack)\n', ':smiling_face_with_halo:\n(Emojipedia)\n']","['😊', '👼']",,"A yellow face with smiling eyes, closed smile, and halo, usually blue, overhead. Often represents angels, prayers, and blessings. May also convey angelic behavior, e.g., doing good deeds. See also 👼 Baby Angel.
Several platforms, including Apple, feature an expression similar to their 😊 Smiling Face With Smiling Eyes.","Smiling Face with Halo was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
